主播名,房间名,房间url,游戏名,房间url
传奇世界路西法,秋雨复古,https://live.kuaishou.com/u/lin358700,传奇世界,https://live.kuaishou.com/u/lin358700
加丽宝（绝地求生）,赢猫粮啦,https://live.kuaishou.com/u/Jialibao66,绝地求生,https://live.kuaishou.com/u/Jialibao66
六阳:绝地求生,路人四排,https://live.kuaishou.com/u/3x6ct5nmfqws69s,绝地求生,https://live.kuaishou.com/u/3x6ct5nmfqws69s
王者荣耀浅可【国服阿轲】,浅可国一阿柯,https://live.kuaishou.com/u/qianke8888,王者荣耀,https://live.kuaishou.com/u/qianke8888
玖玖绝地玖菜花,快乐~,https://live.kuaishou.com/u/jiu9999r,绝地求生,https://live.kuaishou.com/u/jiu9999r
和平精英陌煞,皮皮煞的S686来咯！,https://live.kuaishou.com/u/Ms336789,和平精英,https://live.kuaishou.com/u/Ms336789
🔥北棋王精讲象棋🔥,跑车挂，百元连,https://live.kuaishou.com/u/xiangqixiaoli666,娱乐,https://live.kuaishou.com/u/xiangqixiaoli666
子傲（方舟和平精英）,征战海贼服,https://live.kuaishou.com/u/3xntm8k8v2nvdjw,方舟,https://live.kuaishou.com/u/3xntm8k8v2nvdjw
象棋少帅峰☀亮证第一人,看象甲 聊人生 瓜子备好,https://live.kuaishou.com/u/LBL6666777,其他手游,https://live.kuaishou.com/u/LBL6666777
传奇神途直播中（互）,首战首区速度来战,https://live.kuaishou.com/u/3xqyhd3jhyszxns,神途,https://live.kuaishou.com/u/3xqyhd3jhyszxns
神途传奇手游–无情,新区开了,https://live.kuaishou.com/u/3x7u2vae244vg62,神途,https://live.kuaishou.com/u/3x7u2vae244vg62
神途传奇直播中（互）,新战区首区,https://live.kuaishou.com/u/cxz52020,传奇世界,https://live.kuaishou.com/u/cxz52020
挽衾（三指关羽）,自己号单排上王者,https://live.kuaishou.com/u/3xia5w762iiisr2,王者荣耀,https://live.kuaishou.com/u/3xia5w762iiisr2
嘟嘟传奇宝儿,今晚统战之夜,https://live.kuaishou.com/u/3xgmztzx22wxjpw,其他,https://live.kuaishou.com/u/3xgmztzx22wxjpw
CF梦梦-最强女救世主,11月加油,https://live.kuaishou.com/u/meng7722,穿越火线,https://live.kuaishou.com/u/meng7722
CF—独秀秀,土遁 · 土流壁,https://live.kuaishou.com/u/Hainan98,穿越火线,https://live.kuaishou.com/u/Hainan98
传奇打金服（直播中）互,1.85蟠龙三职业,https://live.kuaishou.com/u/3x75ubp4tsjhiqw,梦幻西游,https://live.kuaishou.com/u/3x75ubp4tsjhiqw
泪伊人（ 世界诸葛 ）,诸葛亮,https://live.kuaishou.com/u/Chuqing520gunian,王者荣耀,https://live.kuaishou.com/u/Chuqing520gunian
和平精英 澎叫兽☀️,giao狙,https://live.kuaishou.com/u/Pengjiaoshou666,和平精英,https://live.kuaishou.com/u/Pengjiaoshou666
夏 目哥哥🍃,宝贝新区来玩么？,https://live.kuaishou.com/u/3xf64kscnr3prn6,新天龙八部,https://live.kuaishou.com/u/3xf64kscnr3prn6
传奇手游小庚,盘古7-7人气光柱,https://live.kuaishou.com/u/Yujiageng021,传奇世界,https://live.kuaishou.com/u/Yujiageng021
梦幻西游七仔（充5万）,刚开新区手机电脑互通,https://live.kuaishou.com/u/xlj998899,梦幻西游,https://live.kuaishou.com/u/xlj998899
手游7哥,一剑九天 等你来战,https://live.kuaishou.com/u/3xefiezx6rxcubm,其他,https://live.kuaishou.com/u/3xefiezx6rxcubm
斗地主•若昂,在上次五千万,https://live.kuaishou.com/u/xp2011116,欢乐斗地主,https://live.kuaishou.com/u/xp2011116
和平精英六洋🐑自定义,自定义信号枪模式,https://live.kuaishou.com/u/sb74110ba,其他,https://live.kuaishou.com/u/sb74110ba
大话时光机~刘德华,白云西游 人气火爆,https://live.kuaishou.com/u/zjx777666,新大话西游2,https://live.kuaishou.com/u/zjx777666
奶片儿🤡云顶之弈,双排吗，疯狂摇人辣种,https://live.kuaishou.com/u/yikeruantang,lol云顶之弈,https://live.kuaishou.com/u/yikeruantang
贪玩小乐乐66,萌妹带你玩天龙,https://live.kuaishou.com/u/3xkwnutynncmbr9,新天龙八部,https://live.kuaishou.com/u/3xkwnutynncmbr9
传奇阿王（安心发展）,二区搞起,https://live.kuaishou.com/u/azhe_7410,其他,https://live.kuaishou.com/u/azhe_7410
胖洋🌟和平精英,还差100分,https://live.kuaishou.com/u/yd006666,和平精英,https://live.kuaishou.com/u/yd006666
万一💦️方舟,战神万某人`,https://live.kuaishou.com/u/WanOne520,方舟,https://live.kuaishou.com/u/WanOne520
手游传奇热血传奇灬浪仙,全新冰雪重磅来袭,https://live.kuaishou.com/u/HBDDlangzi,其他,https://live.kuaishou.com/u/HBDDlangzi
💞冇爱゜08,女汉子带你玩新区,https://live.kuaishou.com/u/3xqipp9a9aqn4cm,梦幻西游,https://live.kuaishou.com/u/3xqipp9a9aqn4cm
传奇打米_暴徒,打米武神传,https://live.kuaishou.com/u/GTZ88888888,其他,https://live.kuaishou.com/u/GTZ88888888
Tianxiu天秀,Tianxiu天秀的直播间,https://live.kuaishou.com/u/wjXd13032035578,其他,https://live.kuaishou.com/u/wjXd13032035578
言辰☞和平精英（叮当）,言辰挑战0杀吃鸡,https://live.kuaishou.com/u/fzw20030310,和平精英,https://live.kuaishou.com/u/fzw20030310
神途传奇手游／传奇冷风,新区开了,https://live.kuaishou.com/u/tlbb6888,神途,https://live.kuaishou.com/u/tlbb6888
TLBB:汐情落雪╱╱,TLBB:汐情落雪╱╱的直播间,https://live.kuaishou.com/u/gongzigeya,新天龙八部,https://live.kuaishou.com/u/gongzigeya
王者荣耀破空【国服黄忠】,破空黄忠天秀刺客,https://live.kuaishou.com/u/li161373762,王者荣耀,https://live.kuaishou.com/u/li161373762
猫眯，玩服宝贝的踩,全新防官方版本，人气300,https://live.kuaishou.com/u/liweiwei0827,新天龙八部,https://live.kuaishou.com/u/liweiwei0827
热血传奇山胖子,三胖子等你,https://live.kuaishou.com/u/sanpangzi188,其他,https://live.kuaishou.com/u/sanpangzi188
传奇无名🇨🇳,教你打金轻松一天300米,https://live.kuaishou.com/u/xing777775,其他,https://live.kuaishou.com/u/xing777775
手游基哥,一剑九天 刚开一秒,https://live.kuaishou.com/u/teamky77,其他,https://live.kuaishou.com/u/teamky77
游戏奥特曼,送天空了,https://live.kuaishou.com/u/xiaomo3377,DNF,https://live.kuaishou.com/u/xiaomo3377
游戏丶铁子,"新区刚开,1:2000",https://live.kuaishou.com/u/wendao147,其他,https://live.kuaishou.com/u/wendao147
王者荣耀小明明（超级皮）,问题来了，我吃多少吨？,https://live.kuaishou.com/u/Xy7151131,王者荣耀,https://live.kuaishou.com/u/Xy7151131
悠悠神途-酷兜（互必回,老铁，快来啊！,https://live.kuaishou.com/u/3xve5n78yd4bp9i,其他,https://live.kuaishou.com/u/3xve5n78yd4bp9i
王者荣耀挽梦（李白）,国服号45星~51,https://live.kuaishou.com/u/wm522512,王者荣耀,https://live.kuaishou.com/u/wm522512
梦幻（大魔王）,招收兄弟,https://live.kuaishou.com/u/a6265859,梦幻西游,https://live.kuaishou.com/u/a6265859
可爱的丫啊,升级送千元红包,https://live.kuaishou.com/u/3xnfckz6xdhrrt9,新天龙八部,https://live.kuaishou.com/u/3xnfckz6xdhrrt9
☜☞尛魔女☜☞,有没有一起玩梦幻西游的呢,https://live.kuaishou.com/u/3xw9wzqdh25bkgy,梦幻西游,https://live.kuaishou.com/u/3xw9wzqdh25bkgy
王者荣耀妖夜《国服关羽》,表弟来了，一打九,https://live.kuaishou.com/u/ahg00000,王者荣耀,https://live.kuaishou.com/u/ahg00000
小白✨游戏主机,秘密，邻居,https://live.kuaishou.com/u/I666-666,主机新游,https://live.kuaishou.com/u/I666-666
DNF龙七（破1万）,接普雷包界武器,https://live.kuaishou.com/u/liuyuhan897,DNF,https://live.kuaishou.com/u/liuyuhan897
无涯哥❤️巫妖,无涯哥❤️巫妖的直播间,https://live.kuaishou.com/u/Ffhhffy566jgcf,穿越火线,https://live.kuaishou.com/u/Ffhhffy566jgcf
范有道的吃鸡之路…,一瘸一拐进来了！,https://live.kuaishou.com/u/dagexingfan,绝地求生,https://live.kuaishou.com/u/dagexingfan
老可爱☀爆秀绝地求生,发家致富~,https://live.kuaishou.com/u/laokeai1314,绝地求生,https://live.kuaishou.com/u/laokeai1314
张童童挺爱浪,辉煌,https://live.kuaishou.com/u/3xbfxfkxz7tm6wm,新大话西游2,https://live.kuaishou.com/u/3xbfxfkxz7tm6wm
夜袭CF网游,全区 快速 上等级,https://live.kuaishou.com/u/3x9tqcuma2zsag6,穿越火线,https://live.kuaishou.com/u/3x9tqcuma2zsag6
传奇+老湿,冰雪版本手机电脑通用版本！,https://live.kuaishou.com/u/cqsak111,其他,https://live.kuaishou.com/u/cqsak111
这是小Yo的小分身_,快速上CF等级,https://live.kuaishou.com/u/3xmxsgrt2b8dje6,穿越火线,https://live.kuaishou.com/u/3xmxsgrt2b8dje6
云顶之奕金牌🏅讲师小伟,云顶之亦竞猜拉满,https://live.kuaishou.com/u/P1254766771,lol云顶之弈,https://live.kuaishou.com/u/P1254766771
大话西游2小龙女,经典大话西游2新区,https://live.kuaishou.com/u/3x23mcva8k6h9q4,新大话西游2,https://live.kuaishou.com/u/3x23mcva8k6h9q4
灿哥CF网络b,快速上等级,https://live.kuaishou.com/u/3x7js7mgbdj72q4,穿越火线,https://live.kuaishou.com/u/3x7js7mgbdj72q4
盛世冰雪沐沐,打米开始,https://live.kuaishou.com/u/anmeng91,传奇世界,https://live.kuaishou.com/u/anmeng91
cf善变网游,快速CF元帅、紫金、金翅膀,https://live.kuaishou.com/u/3xvy8dtemjfd6k9,穿越火线,https://live.kuaishou.com/u/3xvy8dtemjfd6k9
灿哥CF网络、,快速帮粉丝上等级,https://live.kuaishou.com/u/3x67ykpz9kdwi59,穿越火线,https://live.kuaishou.com/u/3x67ykpz9kdwi59
王者荣耀小旧梦.天秀猴子,单挑女神姐姐,https://live.kuaishou.com/u/wang17674768247,王者荣耀,https://live.kuaishou.com/u/wang17674768247
-小海（绝地求生）,有位置 ....,https://live.kuaishou.com/u/3x5kqm9b6rnwav6,绝地求生,https://live.kuaishou.com/u/3x5kqm9b6rnwav6
