排名,币种,价格,24H涨跌幅,24H成交额,市值,流通量,图片地址
43,雪币,1.5291,0.09%,105.59万,"9,939.04万","6,500万",https://img.jinse.com/jinse_1565839437908891100
33,比特无限,0.00055958,27.3%,"1,520.17","9,667.34万","1,727.6亿",https://img.jinse.com/currencies/bcx
3213,Pegasus,0.009552,0.78%,236.49万,"9,541万",100亿,https://img.jinse.com/jinse_1569292220731461265
29,波币,0.9355,-6.25%,522.85万,"9,354.57万",1亿,https://img.jinse.com/516273_image20.png
41,RVN,0.0227,-0.25%,381.98万,"9,279.31万",40.8亿,https://resource.jinse.com/phenix/img/coin/ravencoin.png
36,比特黄金,5.2821,-1.09%,190.82万,"9,251.11万","1,751.39万",https://img.jinse.com/jinse_1565837785520823954
72,KuCoin Shares,1.0002,7.94%,842.15万,"8,967.55万","8,965.94万",https://img.jinse.com/831553_image20.png
76,双子星美元,1,0,"40,325.45","8,925.63万","8,925.63万",https://img.jinse.com/1419449_image20.png
48,HOT,0.00066544,5.94%,256.1万,"8,864.76万","1,332.15亿",https://img.jinse.com/759172_image20.png
651,分子未来,1.7612,1.25%,"2,360.12万","8,806.01万","5,000万",https://img.jinse.com/currencies/molecular
59,纳诺,0.6508,-0.59%,"390,995.02","8,672.4万",1.33亿,https://img.jinse.com/588953_image20.png
31,嫩模币,0.6183,0.94%,"3,416.19万","8,672.32万",1.4亿,https://img.jinse.com/830987_image20.png
51,V-Dimension,0.4768,-0.28%,"130,143.43","8,533.79万",1.79亿,https://img.jinse.com/jinse_1570781706789929224
3137,YSDT Token,0.0837,-6.42%,"123,619.52","8,378.87万",10亿,https://img.jinse.com/jinse_1568864838753899424
114,比特元,0.2535,-1.74%,"257,530.43","8,352.3万",3.3亿,https://img.jinse.com/jinse_1567740403753489473
37,酒水链,0.7869,0.5%,"1,788.43","7,869万",1亿,https://img.jinse.com/jinse_1565838069138848561
1221,YOEXS TOKEN,1.51,0,"77,875.9","7,550万","5,000万",https://resource.jinse.com/phenix/img/coin/yoexstoken.png
2043,民族币,0.0679,2.72%,"30,521.1","7,165.79万",10.55亿,https://resource.jinse.com/phenix/img/coin/MZC.png
40,应用链,0.56,1.37%,"138,363.49","6,658.76万",1.19亿,https://img.jinse.com/830992_image20.png
52,极特币,0.00544022,1.21%,"108,988.2","6,574.66万",120.86亿,https://img.jinse.com/831258_image20.png
